# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	6133
#@/user_id	fuermobai_archlinux_v1.0
a 	啊	c=53 d=2.0754 t=6133
yan chi 	延遲	c=2 d=0.00671123 t=6133
yan chu 	演出	c=1 d=1 t=5179
yan gai 	掩蓋	c=1 d=1 t=5020
yan jiu 	研究	c=1 d=0.188247 t=6133
yan lian 	演練	c=1 d=0.790571 t=6133
yan shou 	驗收	c=1 d=1 t=4261
yan shu 	眼熟	c=1 d=1 t=5261
yan wei 	煙味	c=0 d=0.00170774 t=6133
yan wei er 	煙味兒	c=1 d=0.017163 t=6133
yan wu 	延誤	c=1 d=1 t=5108
yan yan 	顏豔	c=3 d=2.07955 t=5731
yan zheng 	驗證	c=2 d=1.00162 t=5551
yan zhong 	嚴重	c=4 d=0.376093 t=6133
yang 	癢	c=1 d=1 t=5379
yang 	養	c=1 d=1 t=5040
yang li bo 	楊李波	c=2 d=1.98511 t=3018
yao 	咬	c=0 d=0.1 t=3959
yao 	要	c=17 d=0.833554 t=6133
yao bu yao 	要不要	c=2 d=1.00013 t=4773
yao guo 	腰果	c=2 d=1.86936 t=5779
yao pin 	藥品	c=2 d=0.0103063 t=6133
yao qing han 	邀請函	c=2 d=1.66973 t=6027
yao qiu 	要求	c=3 d=0.277541 t=6133
yao yi yao 	咬一咬	c=1 d=1 t=3960
ye 	也	c=37 d=2.64546 t=6133
ye 	液	c=1 d=0.0389677 t=6133
ye ban 	夜班	c=1 d=1 t=4640
ye chang 	夜場	c=1 d=1 t=4635
ye mian 	頁面	c=1 d=1 t=3214
ye wu 	業務	c=1 d=0.0275983 t=6133
ye xi huan 	也喜歡	c=1 d=1 t=5032
ye xing 	也行	c=1 d=0.873716 t=6133
yi 	一	c=2 d=0.540807 t=6133
yi 	噫	c=21 d=0.329114 t=6133
yi 	已	c=2 d=1.65377 t=5870
yi ban 	一般	c=4 d=0.826959 t=6133
yi bei zi 	一輩子	c=1 d=1 t=4576
yi biao 	儀表	c=1 d=1 t=5872
yi biao duan 	一標段	c=4 d=0.0999491 t=6133
yi can 	一餐	c=1 d=1 t=4671
yi dian 	一點	c=2 d=0.00052475 t=6133
yi dong 	移動	c=4 d=0.814647 t=6133
yi dong cheng bao 	移動城堡	c=3 d=2.53062 t=3887
yi duan shi jian 	一段時間	c=1 d=1 t=2186
yi fa 	已發	c=0 d=0.1 t=3044
yi fa song 	已發送	c=1 d=1 t=3045
yi fen 	一份	c=2 d=0.790435 t=6133
yi fen ma 	一份嗎	c=1 d=1 t=6086
yi fu 	衣服	c=1 d=0.439596 t=3533
yi ge 	一個	c=15 d=0.60825 t=6133
yi ge 	一格	c=1 d=1 t=2959
yi ge yue 	一個月	c=1 d=1 t=5430
yi hou 	以後	c=3 d=0.402524 t=6133
yi hui 	一回	c=1 d=0.398519 t=6133
yi hui er 	一會兒	c=2 d=0.118837 t=6133
yi ji 	一集	c=1 d=1 t=3335
yi ji 	以及	c=2 d=0.644036 t=6133
yi ji tou 	一級頭	c=1 d=1 t=1889
yi jing 	已經	c=3 d=1.03839 t=5895
yi ju hua 	一句話	c=1 d=1 t=3844
yi kai shi 	一開始	c=1 d=1 t=3716
yi kou 	一口	c=0 d=0.1 t=4826
yi kuai 	一塊	c=2 d=0.235899 t=6133
yi kuan 	一款	c=1 d=1 t=3730
yi lian 	一臉	c=1 d=1 t=4377
yi niu 	一扭	c=0 d=0.1 t=3957
yi pao 	一泡	c=0 d=0.1 t=3958
yi qi 	一起	c=1 d=1 t=4047
yi qian 	以前	c=3 d=0.371577 t=6133
yi qiang 	一槍	c=0 d=0.00587184 t=6133
yi shang 	以上	c=5 d=0.608671 t=6133
yi sheng 	醫生	c=1 d=1 t=5429
yi shuo 	一說	c=1 d=1 t=2215
yi si 	意思	c=2 d=0.873716 t=6133
yi wai 	以外	c=1 d=1 t=3769
yi wai 	意外	c=2 d=1.10753 t=3768
yi wei 	以爲	c=4 d=0.0127877 t=6133
yi wu 	義務	c=2 d=0.100259 t=6133
yi xia 	一下	c=3 d=1.67139 t=5856
yi xia 	以下	c=1 d=1 t=5857
yi xiang 	一想	c=1 d=1 t=4806
yi yang 	一樣	c=3 d=0.00341356 t=6133
yi yao 	一咬	c=0 d=0.1 t=3959
yi yi 	異議	c=1 d=1 t=5513
yi zheng 	一整	c=0 d=0.1 t=4112
yi zheng ge 	一整個	c=1 d=1 t=4113
yi zhi 	一直	c=1 d=0.00644148 t=6133
yi zhi 	一致	c=1 d=1 t=3598
yi zi 	椅子	c=1 d=0.634448 t=6133
yin 	尹	c=1 d=0.263158 t=6133
yin 	引	c=1 d=1 t=3612
yin bi 	隱蔽	c=2 d=0.421052 t=6133
yin bi bao jing 	隱蔽報警	c=4 d=2.44528 t=2663
yin bi bao jing xi tong 	隱蔽報警系統	c=1 d=1 t=2277
yin diao 	音調	c=1 d=1 t=2134
yin su 	因素	c=3 d=0.197132 t=6133
yin wei 	因爲	c=9 d=2.3492 t=5260
yin xiang 	印象	c=2 d=0.0191587 t=6133
yin yue 	音樂	c=2 d=1.01996 t=3665
ying dang 	應當	c=1 d=1 t=5737
ying dang neng 	應當能	c=0 d=0.1 t=3027
ying dang neng gen 	應當能跟	c=1 d=1 t=3028
ying gai 	應該	c=6 d=2.09338 t=6133
ying ji 	應急	c=7 d=0.0839457 t=6133
ying ji jiu yuan 	應急救援	c=4 d=2.27932 t=2620
ying ji zi yuan guan li 	應急資源管理	c=1 d=0.843665 t=6133
ying jia 	贏家	c=0 d=0.1 t=4974
ying pan 	硬盤	c=2 d=1.83527 t=4415
ying she 	映射	c=1 d=1 t=3599
ying wen 	英文	c=2 d=0.394554 t=6133
ying xiang 	影響	c=3 d=2.22481 t=3906
ying yang 	營養	c=0 d=0.1 t=4854
yo 	喲	c=2 d=1.03725 t=4938
yong 	用	c=8 d=0.993569 t=6133
yong guo 	用過	c=1 d=1 t=4122
yong hu 	用戶	c=2 d=0.0121552 t=6133
yong ku 	泳褲	c=1 d=0.182684 t=6133
yong sheng ming 	用生命	c=1 d=1 t=1915
yong wen 	擁吻	c=0 d=0.1 t=5415
yong yuan 	永遠	c=1 d=0.018043 t=6133
you 	又	c=8 d=0.882497 t=6133
you 	有	c=32 d=2.36495 t=6133
you 	油	c=1 d=1 t=4714
you 	猶	c=1 d=1 t=5389
you 	由	c=5 d=2.28175 t=6131
you bu shi 	又不是	c=2 d=0.99005 t=6133
you dian 	有點	c=5 d=0.856229 t=6133
you du 	有度	c=0 d=0.1 t=5769
you ge 	有個	c=3 d=0.07502 t=6133
you ji 	郵寄	c=3 d=0.207142 t=6133
you jian 	郵件	c=3 d=1.00064 t=5952
you mei you 	有沒有	c=3 d=0.380983 t=6133
you qu 	有趣	c=1 d=0.000244185 t=6133
you qu er 	有趣兒	c=1 d=0.00245409 t=6133
you ren 	有人	c=1 d=0.0606531 t=6133
you shi hou 	有時候	c=2 d=1.96561 t=5295
you wen ti 	有問題	c=1 d=1 t=3129
you xian dian shi 	有線電視	c=2 d=1.43605 t=2708
you xiang 	郵箱	c=0 d=0.1 t=3156
you xiang li 	郵箱裏	c=1 d=1 t=3157
you xin 	有心	c=0 d=0.1 t=3516
you xing qu 	有興趣	c=1 d=0.00315111 t=6133
you xiu 	優秀	c=7 d=1.41307 t=6133
yu 	於	c=1 d=0.01128 t=6133
yu 	與	c=5 d=1.00009 t=5472
yu an 	預案	c=1 d=0.806541 t=6133
yu bao 	預報	c=1 d=0.0666977 t=6133
yu ce 	預測	c=0 d=0.0666977 t=6133
yu ce yu bao 	預測預報	c=1 d=0.67032 t=6133
yu chang 	浴場	c=1 d=0.173774 t=6133
yu fa 	語法	c=1 d=1 t=3626
yu jing 	預警	c=0 d=0.0810584 t=6133
yu lan 	預覽	c=0 d=0.1 t=3588
yu lan chuang kou 	預覽窗口	c=1 d=1 t=3589
yu mi 	玉米	c=1 d=1 t=4853
yu qiu 	欲求	c=1 d=0.100151 t=3657
yu qiu wang 	欲求王	c=1 d=1 t=3658
yu yi 	語義	c=1 d=1 t=3647
yuan 	元	c=2 d=0.142242 t=3671
yuan 	院	c=0 d=0.1 t=5549
yuan cheng 	遠程	c=1 d=1 t=2282
yuan li 	原理	c=2 d=0.00523808 t=6133
yuan wang 	願望	c=1 d=1 t=3846
yuan yi 	願意	c=1 d=1 t=4768
yuan zhi du 	元之都	c=1 d=1 t=3672
yue 	月	c=7 d=0.928506 t=6133
yue 	約	c=1 d=1 t=4297
yue bing 	月餅	c=2 d=0.45612 t=6133
yue du 	閱讀	c=0 d=0.0444858 t=6133
yue du neng li 	閱讀能力	c=1 d=0.447088 t=6133
yue dui 	樂隊	c=1 d=1 t=6043
yue fen 	月份	c=2 d=1.99005 t=2811
yue lai yue hao 	越來越好	c=1 d=0.551563 t=6133
yue pao 	約炮	c=2 d=1.79852 t=4320
yun 	暈	c=1 d=0.0963276 t=6133
yun dong 	運動	c=1 d=1 t=3731
yun dong xie 	運動鞋	c=1 d=0.336216 t=6133
yun nan 	雲南	c=1 d=1 t=5890
yun yun 	云云	c=1 d=1 t=4811
za 	咋	c=3 d=0.836527 t=6133
zai 	再	c=1 d=0.376651 t=2190
zai 	在	c=21 d=0.712065 t=6133
zai ding 	再定	c=1 d=0.172907 t=6133
zai hai 	災害	c=1 d=0.818731 t=6133
zai hou lai 	再後來	c=1 d=1 t=2191
zai jian 	再見	c=1 d=1 t=6040
zai na er 	在那兒	c=1 d=1 t=5669
zai shuo 	再說	c=1 d=0.394554 t=6133
zai xia 	在下	c=0 d=0.1 t=2209
zai xian 	在線	c=1 d=1 t=2961
zan jia 	咱家	c=1 d=1 t=4210
zan lia 	咱倆	c=1 d=1 t=4455
zan men 	咱們	c=1 d=0.0724399 t=6133
zan shi 	暫時	c=1 d=1 t=3901
zan tong 	贊同	c=1 d=1 t=4673
zao 	早	c=2 d=1.05514 t=6133
zao dian 	早點	c=1 d=1.08065 t=4646
zao dian ren shi wo 	早點認識我	c=1 d=1 t=4604
zao qi 	早起	c=1 d=0.782705 t=6133
zao ta 	糟蹋	c=1 d=0.529935 t=6133
ze 	則	c=2 d=1.90032 t=5535
ze ze 	嘖嘖	c=1 d=1 t=3973
zen me 	怎麼	c=15 d=1.62402 t=6133
zen me ban 	怎麼辦	c=1 d=1 t=4781
zen me yang 	怎麼樣	c=0 d=0.0319819 t=6133
zeng gao 	增高	c=0 d=0.0362402 t=6133
zeng jia 	增加	c=13 d=10.5955 t=2732
zeng qiang 	增強	c=0 d=0.1 t=2503
zeng qiang xian shi 	增強顯示	c=2 d=1.89583 t=2526
zha kou 	閘口	c=0 d=0.1 t=2303
zha le 	炸了	c=1 d=1 t=3324
zhai diao 	摘掉	c=1 d=0.084163 t=6133
zhan shi 	展示	c=3 d=0.612626 t=6133
zhang 	張	c=4 d=2.90249 t=5771
zhang 	漲	c=2 d=1.0703 t=5777
zhang 	長	c=0 d=0.1 t=5769
zhang ai wu 	障礙物	c=2 d=0.727306 t=2713
zhang bo lun 	張伯倫	c=1 d=0.252839 t=6133
zhang chi you du 	長馳有度	c=1 d=1 t=5770
zhang da 	長大	c=1 d=1 t=4822
zhang da hou 	張大吼	c=1 d=1 t=1911
zhang da hou 	長大後	c=1 d=1 t=1912
zhang gong 	張工	c=3 d=2.72358 t=3441
zhang lang 	蟑螂	c=1 d=1 t=2203
zhang zi yi 	章子怡	c=1 d=1 t=4369
zhao 	找	c=15 d=0.866238 t=6133
zhao 	照	c=1 d=1 t=5321
zhao 	趙	c=2 d=0.25284 t=6133
zhao biao 	招標	c=1 d=0.285076 t=6133
zhao bu dao 	找不到	c=1 d=1 t=4272
zhao dao 	找到	c=2 d=0.594521 t=6133
zhao le zi 	找樂子	c=1 d=1 t=5270
zhao ming 	照明	c=2 d=1.24171 t=2687
zhao quan 	趙泉	c=5 d=0.0685643 t=6133
zhao san fa 	趙三發	c=1 d=0.331211 t=6133
zhao zhao 	找找	c=2 d=1.99005 t=3185
zhe 	折	c=5 d=2.65246 t=4510
zhe 	這	c=15 d=0.970032 t=6133
zhe bian 	這邊	c=6 d=0.726149 t=6133
zhe bo 	者波	c=1 d=0.0862936 t=6133
zhe bo 	這波	c=2 d=0.33154 t=6133
zhe bu shi 	這不是	c=3 d=1.36262 t=4053
zhe ci 	這次	c=1 d=1 t=5062
zhe dian 	這點	c=1 d=1 t=5336
zhe ge 	這個	c=42 d=2.11773 t=6133
zhe ge shi 	這個是	c=1 d=1 t=6089
zhe ge yue 	這個月	c=2 d=0.075774 t=6133
zhe hai yuan 	這還遠	c=1 d=1 t=5711
zhe hua 	這話	c=1 d=1 t=1836
zhe jia 	這家	c=2 d=1.97045 t=3280
zhe jian shi 	這件事	c=1 d=1 t=5932
zhe jian shi qing 	這件事情	c=1 d=1 t=5005
zhe ju hua 	這句話	c=1 d=1 t=2230
zhe kuan 	這款	c=1 d=1 t=4021
zhe li 	這裏	c=4 d=1 t=5941
zhe li mian 	這裏面	c=1 d=1 t=3397
zhe lia 	這倆	c=1 d=1 t=4860
zhe me 	這麼	c=15 d=1.0611 t=6133
zhe me jiu 	這麼久	c=1 d=1 t=1862
zhe me qiao 	這麼巧	c=1 d=0.67032 t=6133
zhe me shuai qi 	這麼帥氣	c=1 d=1 t=1995
zhe ne 	着呢	c=0 d=0.1 t=5191
zhe ne me 	着呢麼	c=1 d=1 t=5192
zhe pian wen zhang 	這篇文章	c=1 d=1 t=4543
zhe shi 	這事	c=3 d=0.0213312 t=6133
zhe shi 	這是	c=1 d=0.0065062 t=6133
zhe shi er 	這事兒	c=1 d=0.214381 t=6133
zhe shou ge 	這首歌	c=1 d=1 t=2041
zhe xie 	這些	c=1 d=0.0132999 t=6133
zhe xie 	這鞋	c=2 d=0.358796 t=6133
zhe xiong di 	這兄弟	c=1 d=1 t=5802
zhe yang 	這樣	c=8 d=1.12967 t=6124
zhe zhang 	這張	c=1 d=1 t=1857
zhe zhong 	這種	c=4 d=1.00471 t=5159
zhe zhong dong xi 	這種東西	c=1 d=1 t=3470
zhe zhong shi qing 	這種事情	c=1 d=1 t=5283
zhen 	真	c=6 d=0.0180841 t=6133
zhen 	診	c=1 d=1 t=5433
zhen guo fen 	真過分	c=1 d=0.00609675 t=6133
zhen huo 	真貨	c=1 d=1 t=4924
zhen shuai 	真帥	c=1 d=0.0547488 t=6133
zhen tao yan 	真討厭	c=2 d=1 t=4616
zhen xiang 	真相	c=1 d=1 t=5030
zhen you xin 	真有心	c=1 d=1 t=3517
zheng 	整	c=1 d=0.289384 t=6133
zheng 	蒸	c=0 d=0.1 t=3562
zheng 	證	c=1 d=1 t=2298
zheng fu 	政府	c=1 d=1 t=4556
zheng hao 	正好	c=1 d=1 t=2014
zheng jian 	證件	c=0 d=0.0551563 t=6133
zheng li 	整理	c=5 d=0.683861 t=6133
zheng mian 	正面	c=1 d=1 t=5345
zheng ming 	證明	c=1 d=1 t=3127
zheng sang na 	蒸桑拿	c=1 d=1 t=3563
zheng shi 	正式	c=1 d=0.0110536 t=6133
zheng ti 	整體	c=2 d=0.0170837 t=6133
zheng ti guan jian lu jing 	整體關鍵路徑	c=2 d=0.0161434 t=6133
zheng wen 	徵文	c=4 d=1.37578 t=6119
zheng wen 	正文	c=0 d=0.1 t=4467
zheng wen tong zhi 	徵文通知	c=2 d=1.87372 t=6017
zheng wen tong zhi 	正文通知	c=1 d=1 t=4468
zheng zai 	正在	c=1 d=1 t=6072
zheng zong 	正宗	c=1 d=1 t=4824
zhi 	只	c=1 d=0.100442 t=5232
zhi 	指	c=2 d=0.484325 t=6133
zhi 	痣	c=1 d=1 t=1920
zhi bao 	質保	c=1 d=0.0495386 t=6133
zhi biao 	製表	c=0 d=0.0250324 t=6133
zhi biao fu 	製表符	c=1 d=0.251579 t=6133
zhi cheng 	支撐	c=0 d=0.1 t=2322
zhi chi 	支持	c=1 d=1 t=4020
zhi dao 	知道	c=4 d=0.0845849 t=6133
zhi du 	之都	c=0 d=0.1 t=3671
zhi fu 	支付	c=2 d=1.00045 t=5782
zhi guan 	直觀	c=3 d=0.628135 t=6133
zhi hui 	只會	c=1 d=1 t=2066
zhi hui 	指揮	c=2 d=0.083527 t=6133
zhi hui 	智慧	c=0 d=0.1 t=2744
zhi hui bu 	指揮部	c=2 d=0.0391639 t=6133
zhi hui chang suo 	指揮場所	c=1 d=1 t=2322
zhi hui diao du 	指揮調度	c=1 d=0.839457 t=6133
zhi hui ji chang 	智慧機場	c=3 d=2.11202 t=2869
zhi hui xi tong 	指揮系統	c=1 d=1 t=2640
zhi hui zhong xin 	指揮中心	c=1 d=1 t=2643
zhi jian 	之間	c=1 d=1 t=2812
zhi jie 	直接	c=11 d=0.310227 t=6133
zhi jin 	至今	c=1 d=1 t=5885
zhi kan 	只看	c=1 d=1 t=2200
zhi kao lv 	只考慮	c=1 d=1 t=5233
zhi mian 	直面	c=0 d=0.1 t=2552
zhi neng 	只能	c=3 d=1.00027 t=5214
zhi neng 	智能	c=5 d=1.00027 t=5213
zhi pei 	支配	c=1 d=1 t=3984
zhi qian 	之前	c=11 d=1.59462 t=6133
zhi shao 	至少	c=1 d=0.0483155 t=6133
zhi shi 	只是	c=2 d=0.465334 t=6133
zhi shi 	芝士	c=1 d=0.577114 t=1996
zhi shi jiu shi li liang 	芝士就是力量	c=1 d=1 t=1997
zhi shou 	值守	c=1 d=0.778801 t=6133
zhi shou 	徵收	c=0 d=0.0771052 t=6133
zhi xiang 	只想	c=1 d=0.0902656 t=6133
zhi yao 	只要	c=2 d=0.951229 t=6133
zhi you 	只有	c=7 d=1.85705 t=5942
zhi yue 	制約	c=2 d=0.0401269 t=6133
zhi yue tiao jian 	制約條件	c=1 d=0.0359724 t=6133
zhi yue yin su 	制約因素	c=4 d=0.105265 t=6133
zhi zhao dao 	只找到	c=1 d=1 t=3033
zhi zhi 	紙質	c=0 d=0.1 t=5962
zhi zhi ban 	紙質版	c=1 d=1 t=5963
zhong 	中	c=6 d=0.980199 t=6133
zhong 	種	c=1 d=1 t=5806
zhong 	重	c=1 d=1 t=4670
zhong dian 	重點	c=3 d=0.302876 t=6133
zhong duan 	終端	c=1 d=1 t=3367
zhong guo 	中國	c=1 d=0.00516939 t=6133
zhong guo qu 	中國區	c=1 d=0.0120945 t=6133
zhong kou 	重口	c=1 d=1 t=2238
zhong qiu jie 	中秋節	c=1 d=1 t=5229
zhong wen 	中文	c=5 d=1.6592 t=6133
zhong wu 	中午	c=1 d=1 t=4249
zhong xin 	中心	c=1 d=1 t=5577
zhong yi 	中醫	c=1 d=0.895834 t=6133
zhong ying wen 	中英文	c=1 d=1 t=6024
zhong you 	重油	c=1 d=1 t=4685
zhou 	周	c=1 d=0.019205 t=6133
zhou bao 	週報	c=2 d=1.98511 t=2956
zhou cheng 	軸承	c=1 d=1 t=3703
zhou jie 	周界	c=5 d=1.56919 t=2897
zhou li hui 	周例會	c=1 d=0.193013 t=6133
zhou liu 	週六	c=1 d=0.0485579 t=6133
zhou ri 	週日	c=2 d=0.0769193 t=6133
zhou si 	週四	c=1 d=0.00755912 t=6133
zhu 	主	c=2 d=0.128496 t=6133
zhu ji 	主機	c=0 d=0.00174364 t=6133
zhu ji fang 	主機房	c=5 d=0.0608772 t=6133
zhu ji fang 	主機放	c=1 d=0.00860854 t=6133
zhu shi 	註釋	c=1 d=1 t=3630
zhu ti 	主題	c=3 d=1.26883 t=6133
zhu yang 	豬羊	c=1 d=1 t=3969
zhu yao 	主要	c=3 d=0.025528 t=6133
zhu yao shi 	主要是	c=1 d=1 t=5106
zhu yi 	注意	c=1 d=1 t=4939
zhu yi an quan 	注意安全	c=0 d=0.1 t=5075
zhuan chang 	專場	c=1 d=0.141564 t=6133
zhuan chang 	轉場	c=1 d=0.142274 t=6133
zhuan chang hou 	轉場後	c=1 d=1 t=2819
zhuan fa 	轉發	c=1 d=1 t=5950
zhuan huan 	轉換	c=0 d=0.1 t=2571
zhuan ji 	專機	c=1 d=1 t=2531
zhuan qian 	賺錢	c=1 d=0.00458483 t=6133
zhuan rang 	轉讓	c=1 d=1 t=5969
zhuan rang shu 	轉讓書	c=1 d=1 t=5956
zhuan ye 	專業	c=1 d=0.0280832 t=6133
zhuan yi 	轉移	c=2 d=1.31192 t=5888
zhuan zhang 	轉賬	c=0 d=0.1 t=5942
zhuang bi 	裝逼	c=1 d=1 t=3721
zhuang ge 	裝個	c=1 d=0.831104 t=6133
zhuang tai 	狀態	c=2 d=1.94176 t=2524
zhui shi 	追視	c=1 d=1 t=2471
zhun 	準	c=0 d=0.1 t=2510
zhun bei 	準備	c=2 d=0.00283702 t=6133
zhun gui tai 	準櫃檯	c=1 d=1 t=2511
zi 	字	c=0 d=0.1 t=3175
zi dong 	自動	c=0 d=0.0546074 t=6133
zi dong bu quan 	自動補全	c=1 d=1 t=3649
zi dong guan bi 	自動關閉	c=1 d=1 t=3588
zi dong sao miao 	自動掃描	c=1 d=0.548812 t=6133
zi dong shi bie 	自動識別	c=2 d=1.10606 t=6133
zi er 	字兒	c=0 d=0.1 t=1989
zi fu 	字符	c=2 d=1.01955 t=3616
zi ji 	自己	c=12 d=0.0790456 t=6133
zi ji xi huan 	自己喜歡	c=1 d=1 t=4571
zi jue 	自覺	c=1 d=1 t=4613
zi liao 	資料	c=0 d=0.1 t=2373
zi nve 	自虐	c=3 d=1.17221 t=5308
zi pai 	自拍	c=1 d=1 t=1879
zi sha 	自殺	c=2 d=1.88692 t=4834
zi ti 	字體	c=1 d=0.343009 t=6133
zi xi tong 	子系統	c=12 d=9.60928 t=2455
zi xiang 	子項	c=1 d=0.0107269 t=6133
zi yuan 	資源	c=0 d=0.0839457 t=6133
zong 	總	c=1 d=1 t=5618
zong ba 	總把	c=1 d=1 t=5004
zong gong 	總共	c=1 d=0.529935 t=6133
zong he 	綜合	c=3 d=1 t=5594
zong he bu xian 	綜合佈線	c=3 d=1.71409 t=2710
zong he guan li 	綜合管理	c=0 d=0.1 t=6091
zong he guan li ping tai 	綜合管理平臺	c=1 d=1 t=6092
zong ji 	總計	c=1 d=1 t=5784
zong jie 	總結	c=1 d=1 t=2938
zong jue de 	總覺得	c=1 d=1 t=4918
zong shi 	總是	c=1 d=0.371577 t=6133
zong suan 	總算	c=1 d=0.591555 t=6133
zong you ren 	總有人	c=1 d=1 t=4879
zou ni 	走你	c=1 d=0.644036 t=6133
zu 	組	c=1 d=1 t=2025
zu zhi 	組織	c=1 d=1 t=3403
zu zhi fang 	組織方	c=1 d=1 t=3412
zui 	嘴	c=1 d=1 t=4061
zui 	最	c=0 d=0.1 t=3746
zui bu 	最不	c=0 d=0.0212248 t=6133
zui bu shan chang 	最不擅長	c=1 d=0.213312 t=6133
zui can 	最慘	c=1 d=1 t=4352
zui chi 	最遲	c=3 d=0.38868 t=6133
zui da 	最大	c=1 d=1 t=3643
zui duo 	最多	c=4 d=1.01491 t=5156
zui hao 	最好	c=1 d=1 t=2174
zui hou 	最後	c=4 d=0.367883 t=6133
zui jin 	最近	c=1 d=0.532592 t=6133
zui mei you 	最沒有	c=0 d=0.1 t=4854
zui mei you ying yang 	最沒有營養	c=1 d=1 t=4855
zui nan shou 	最難受	c=1 d=1 t=3502
zui niu bi 	最牛逼	c=1 d=1 t=3747
zui shang 	嘴上	c=1 d=1 t=5007
zui xin 	最新	c=3 d=0.806541 t=6133
zui yi 	醉意	c=1 d=0.375311 t=6133
zui you 	最優	c=0 d=0.000218749 t=6133
zui you jie 	最優解	c=1 d=0.00219846 t=6133
zui zao 	最早	c=1 d=1 t=5909
zui zhong 	最終	c=5 d=3.8833 t=5546
zuo 	做	c=6 d=0.887938 t=6133
zuo 	座	c=4 d=1.00641 t=5937
zuo biao 	坐標	c=1 d=1.099 t=2574
zuo biao 	座標	c=0 d=0.1 t=2571
zuo biao shu ru gui ze 	坐標輸入規則	c=1 d=1 t=2573
zuo biao zhuan huan 	座標轉換	c=1 d=1 t=2572
zuo guo 	做過	c=1 d=1 t=5286
zuo tian 	昨天	c=5 d=2.50235 t=6060
zuo wan 	昨晚	c=1 d=1 t=4406
zuo you 	左右	c=1 d=1 t=4735
zuo zhe 	作者	c=0 d=0.1 t=3082
